Reviews,Labels
"There is a reason why this made for British TV movie only appeared at the 1977 Toronto Film Festival. It is dull, plodding and lacking in suspense.<br /><br />Peter OÕTooleÕs diffident performance and the appearance of playwright Harold Pinter are the only elements of interest.<br /><br />Note : Some British film fans will enjoy seeing Philip Jackson, best known for his portrayal of Inspector Japp in the Poirot television series, in one of his earliest roles....",0
"Kim Novak's a witch on the prowl for a mortal lover, and James Stewart's her choice. Scintillating comedy of manners, from the Broadway stage; shot by James Wong Howe in Witch Color, and performed by a sterling cast. Ernie Kovacs is wonderful as the perpetually dishevelled writer Redlitch. I love this movie, though few others seem to. Kim alone makes it a winner in my Book. Ha! My #5 film of 1958.",1
"Though not a horror film in the traditional sense, this creepy little film delivers the goods. It seems a vampire is loose in a small German town draining its victims of their blood. Police Inspector Karl Brettschneider, Melvyn Douglas in one of his early roles, is skeptical believing a crazed killer not a vampire is running amok. The only one who believes him is Ruth Bertin (Faye Wray) the inspector's girlfriend and lab assistant to Dr. Otto von Niemann (Lionel Atwill) who though apparently an eminent scientist goes along with the vampire theory. The townspeople suspect the weirdo Herman Gleib, played with his usual frenzy by Dwight Frye who seems to be having a lot of fun with his role. The film contains quite a bit of humor which helps relieve some of the intensity involved with all the murders being committed. One funny part has Gussie Schnappmann (Maude Eburne), Ruth Bertin's aunt, thinking weird Herman has turned not into a bat but into a dog. Maude Eburne and Dwight Frye make a good comedy team.<br /><br />This budget movie brings in elements from ""The Cabinet of Dr. Caligari"" with Dr. Niemann using the power of suggestion to make a somnambulist carry out his orders, from ""Frankenstein"" by using the human blood to help create life in the laboratory, and ""Dracula"" since the murders are believed by everyone except the inspector and his girl to be the work of a bloodsucker. Thses elements are mixed well by director Frank R. Strayer with a little comedy thrown in for good measure. The concoction works. The restored version I viewed used tinting to increase the spooky atmosphere. So try to see the this version if possible.",1
"Having not read the novel, I can't tell how faithful this film is. The story is typical mystery material: killer targets newlyweds; woman investigator falls in love with her partner and is diagnosed with a fatal disease. Yes, it sounds like a soap opera and that's exactly how it plays. The first 2/3 are dull, save for the murders and the last 1/3 makes a partial comeback as it picks up speed toward its twisty conclusion.<br /><br />Acting is strictly sub par, though it's hard to blame the actors alone: the screenplay is atrocious. During the last 1/3 you stop noticing because the film actually becomes interesting, but that's only the last 1/3. Director Russell Mulcahy is very much in his element, but there's only so much he can do with a TV budget and the network censors on his back. He's pretty much limited to quick cutting and distorted lenses, though he managed to squeeze in a couple ""under the floor"" shots during the murders in the club restroom. Unfortunately, as this is made for TV, the cool compositional details he uses so well with a wider image are nowhere to be found. Note to producers: give this man a reasonable budget and an anamorphic lens when you hire him.<br /><br />Summing it up: this film is bad by cinema standards and mediocre by TV standards(watch CSI, instead). If you're in the mood for a film like this, I've some excellent suggestions: pick up a copy of Dario Argento's ""Deep Red""(my highest recommendation; superb film), ""Opera"", or even ""Tenebre"". They're stronger in every category.",0
"The movie starts with a pair of campers, a man and a woman presumably together, hiking alone in the vast wilderness. Sure enough the man hears something and it pangs him so much he goes to investigate it. Our killer greets him with a stab to the stomach. He then chases the girl and slashes her throat. The camera during the opening scene is from the point of view as the killer.<br /><br />We next meet our four main characters, two couples, one in which is on the rocks. The men joke about how the woman would never be able to handle camping alone at a double date, sparking the token blonde's ambition to leave a week early. Unexpectedly, the men leave the same day and their car breaks down.. They end up arriving in the evening. When the men arrive, they are warned about people disappearing in the forest by a crazy Ralph doppleganger. They ignore the warning and venture into the blackening night and an eighties song plays in the background with lyrics about being murdered in the dark forest. The men get lost.<br /><br />In the next scene we realize that this isn't just another The Burning clone, but a ghost story! The women, scared and lonely are huddling together by the fire. Two children appear in the shadows and decide to play peeping Tom. Well they are obviously ghosts by the way their voices echo! Their mother appears with blood dripping from a hole in her forehead and asks the two ladies if they've seen her children, before disappearing of course. <br /><br />The children run home to papa and tell him about the two beautiful ladies by the river. This causes quite a stir and he gets up, grabbing his knife from atop the fireplace. ""Daddy's going hunting,"" The little girl, exclaims with bad acting. It is apparent here, that the dad isn't a ghost like his children.<br /><br />Freaked out by something in the woods, the token blonde splits, running blindly into the night, carrying a knife. She encounters the father who explains he's starving and it will be quick. This doesn't make sense because of the panther growls we heard earlier (Maybe he's allergic! Are panthers honestly even in California?) She ends up wounding him slightly before getting stabbed in the head. A thunderstorm erupts and the men seek shelter, which turns out to be where papa resides. Clearly someone lives here because there's a fire and something weird is roasting over it. The children appear and warn them of papa, who shows up moments later. They disappear as soon as he arrives.<br /><br />For whatever reason, our killer only goes after females. He invites the men to have something to eat and tells us the story about his ex wife. We are given a flashback of his wife getting caught cheating. The old man doesn't tell them however that he kills her and her lover afterwards, but daydreams about it. We aren't given the reason for the children's demise. The men go to sleep and are left unharmed. The next morning the men discover the empty campground of their wives. After a brief discussion they split up. One is to stay at the campsite, while the other goes and gets help. The one that is going back to his car breaks his leg. We are then reunited with the children as they explain to the surviving woman that they are ghosts who killed themselves from being sad about their mother. They agree to help the woman reunite with her friends<br /><br />The following scene defies the logic of the movie when papa kills the guy waiting at the campsite. He was also dating or married to the blonde. Somehow the children realize he is murdered and tell the woman about it. She decides to see it for herself and obviously runs into the killer. Luckily the children make him stop by threatening to leave him forever. You know where this is going.<br /><br />Overall the movie deserves four stars out of ten, and that's being generous. For all its misgivings, the musical score is well done. It's still watchable too. There are some camera angles that look professional, and some of the sets are done well. The plot is unbelievable. There is such a thing as willing suspension of disbelief, but with the toad 6 miles away; I can't imagine the token blonde would take off like that in the middle of the night. I mean, come on!<br /><br />- Alan ""Skip"" Bannacheck",0
"This is one of the best films I have seen in years! I am not a Gwyneth Paltrow fan, but she is excellent as Emma Woodhouse. Alan Cumming is superb as Reverand Elton, and Emma Thompson's sister, Sophie, is hysterical as Miss Bates. And check out the gorgeous Jeremy Northam as Mr. Knightley; what a gentleman! Whoever said you need sex and violence in a movie to make it good has never seen Emma. I think that is what separates it from so many others--it's classy.<br /><br />If you're looking for a film that you can watch with the whole family, or looking for a romance for yourself, look no further. Emma is that movie. With a beautiful setting, wonderful costumes, and an outstanding cast (have I mentioned the gorgeous Jeremy Northam?), Emma is a perfect ten!",1
"American playwright Howard W. Campbell, Jr. (played with a musty obsolescence by Nick Nolte) lives happily in Germany with his actress wife, Helga Noth (Sheryl Lee) before the beginning of World War II. At the peak of his life, Howard is drafted by an American agent (John Goodman) to become a spy on behalf of the Allies; forewarned of the risks the job holds, Howard has everything to lose, but finds the offer irresistible. Following the death of his wife and the end of the war, Campbell camouflages himself with the anonymity of a solitary life in New York City, which muddies his neuroses even further. The central question (indeed, a question that has frustrated many critics) of the movie and Kurt Vonnegut's source novel is, ""is Campbell a hero or a traitor?"" Director Keith Gordon and screenwriter Robert B. Weide offer us clues, but no answer, and this ambiguitythis NOT knowingis what keeps ""Mother Night"" fresh and interesting throughout. At the beginning of the film, Nolte portrays Campbell as intelligent and confident; by the end, he's either scared and uncertain, or scared and COMPLETELY certain of his contribution/debt to humanity for the role he played in the war. Gordon applies a certain icy sheen to the images of the film's first half, which complement his portrait of the Nazi bourgeoisie and captures Vonnegut's dramatic side. On the flip side, when Campbell is confined to his lonely New York apartment (which he affectionately calls ""purgatory"") only to be discovered by a group of Nazis, the humor produced also is purely distinctive of the author, and provides a temporary respite from the dramatic tension that unfolds. The moral (even spiritual) paradox ""Mother Night"" presents doesn't lend itself to simple resolution, and to a degree, should be left ambiguousthe black-and-white scenes of Campbell staring wearily into space as he is imprisoned in Israel suggest an unspoken contemplation we are not made privy toas Campbell is a character whose inner workings we wind up knowing very little about; the war changes him, coming back to America changes him, and meeting up with the Nazis in New York compels him to prolong the facade of his ""act"" even further, to the point where he can only stare wearily at an image of himself projected on a wall, spewing anti-Semitic bile. Perhaps that's the best reaction we could hope for.",1
"I thought this move was very good. There were a few things that were less than perfect, but overall, I was quite surprised. The courtroom scene in the end seemed a little unrealistic, but was real enough to be entertaining. I found that the movie communicated the hardships of going though military training and the sacrifices that go along with it. Being a military pilot I could relate to many of these parts.",1
"I caught this movie on Sci-Fi before heading into work. If you've any interest in seeing Dean Cain dive and avoid being enveloped in flames at least a dozen times, this movie is for you. If that doesn't peak your interest, well, I'm afraid you'll wish that YOU were the one about to be enveloped in flames, because this movie is pretty bad. The acting, to begin with, is awful, awful, awful. The characters are all completely obnoxious, and the dialogue is worse than your typical Z-grade, Sci-Fi movie. Towards the end, the movie began to remind me of 'Hollow Man' (complete with escape via elevator shaft), except with a Dragon, not a naked, invisible man. Unlike other similar flicks, however, this one wasn't even awesomely bad...it was just plain bad.",0
"Having first achieved fame with Drunken Master, Jackie Chan was thrust into the spotlight once more with 1983's Project A, a hugely enjoyable pirate flick which re-established him as a major star. By the time Police Story was released two years later, the extraordinary hype surrounding Jackie was reaching its zenith, and crowds flocked to see this frenetic blend of awesome stunts, brutal fight scenes and questionable comedy. It broke numerous box-office records and inspired a 50% rise in police recruits, but, viewed 20 years on - is it any good?<br /><br />As an action movie Police Story unquestionably stands up. There are several terrific fight scenes, some stuntwork that recalls the very best of Chan's hero Buster Keaton, and a compelling if over-violent climactic tussle. Jackie's performance is also very strong, and whilst the frequent forays into laboured comedy dull the film's impact just a little, his charisma carries it through. Furthermore, in presenting our hero as a borderline psychopath whose recklessness puts others in danger, Jackie took a momentous gamble ... though in the event nobody seems to have noticed! By praising Police Story as a simple 'Good vs. Evil' battle critics belittled the film's ambiguity of tone, and whilst it's hardly The Brothers Karamazov, in depicting such uncertainty the film nevertheless represented a notable and praiseworthy shift from conventional ideas.<br /><br />In short, this remains a quality ""popcorn"" movie* (though you may empty your stomach as numerous villains are thrust against or deposited into glass showcases in the film's final scene) - a potent, boisterously entertaining action movie that ranks with the best of its period.",1
"An excellent cast makes this movie work; all of the characters are developed exceedingly well and it's clear that the actors enjoyed filming this movie.<br /><br />It's not quite the comedy I expected, much more a lighthearted look at the attempt to reclaim youthful glory than bawdy humor. For music fans there are quite a few subtle references that in themselves are intelligently funny.<br /><br />I hate drawing direct comparisons to other movies, but so much of this movie reminded me of Alan Parker films I can't help it: imagine if The Commitments actually did make it big -- and then tried to recapture said glory 25 years later.",1
"Just another example of why Stepehn King's books should not be made into movies. (Even Carrie, one of the best, is ruined in the adaptation from book to screen.) The premise of the story revolves around a fat lawyer, always on a diet, who ""accidentally"" kills an old gypsy woman. In court, with the help of the judge and the local police chief, he gets off, even though the accident was sort of his fault as he was not paying attention as he was driving. The father of the dead gypsy woman places a curse on the 3, with our main character, Billy (the lawyer) getting thinner and thinner by the day. Though the movie kept with the book, for the most part, and has your typical King ending, the acting was stilted and felt forced. We went from one scene to the next without much of anything in between, sort of like reading acts in a play. King himself made a cameo in the movie (sort of like Dave Barry), which reinforces my belief that authors should stay just that: authors. Leave the acting to actors. Not that anyone in this movie was that great. I've seen the major characters in movies where they were much better.",0
"The filming is pleasant and the environment is keenly realistic. I liked that it boldly redresses conceptions of the many difficult moral and social morays of the 1930's Chinese-mainland countryside as well as more basic human questions - I felt I could get a real sense of the times, recreated even in splendid shots of traditional Chinese theatre and in purist depictions of street living. It seemed worthwhile to experience. The interwoven role which Buddhism plays is probably the most true-to-form - both in its menial and in its philosophic aspect, perhaps the most effective that I've seen in Chinese film. Casting is great. Images are memorable. Acting is solid enough. Thematically puerile but still rich enough to compliment the vehicle of its expression.",1
"Steven Vasquez directed and co-wrote with James Townsend, the star, this strange little drama cum horror flick with evidently very good ideas and intentions: make a gay film that takes a different storyline than the usual fare and make a drama that wants to be judged on its merits as a thriller. So why doesn't it work? For starters the film loses direction from the opening frame and wanders rather aimlessly throughout the film, dead set on making a suspense thriller but getting sidetracked into satisfying an audience who wants to see nude encounters. Not that that is a bad thing: it can certainly enhance some films that have been Hollywood successes. The film also tries to talk about coming out experiences in young men and women, relationships, disturbed parenting, the club scene with all the wild antics that accompany such events - and murder. It is all a bit much to cram into a 96-minute film.<br /><br />Devon (James Townsend) by all appearances is a successful kid with a kind girlfriend Jenna (Sarah Kelly) but he has an eye for boys and visits a bar where he meets Brian (Alex Wilson) who has been down the same path and can offer Devon assistance on every level. They bond, Devon comes out, and the mysteries begin: boys are missing in the neighborhood, Devon's stepfather psychologist Dr. Kirk Tyler (Dan Swett) is not at all what he appears to be and despite Devon's consoling mother Donna (Sonja Fisher) Devon is cast into the streets because of his new relationship. It seems Dr Tyler is in a dark business with hunky Detective Cunningham (Earl McDougle) who apparently is investigating the missing boys... Devon gathers his resources from his understanding girlfriend Jenna and her cronies and together the group unveils the dark doings of Dr. Tyler and his detective sidekick. And through it all Donna radiates warmth and understanding as the perfect mother of a gay boy, etc.<br /><br />Some of the actors are pleasing to the eye (and there is very little the eye doesn't examine frequently!) but the degree of acting is at an all time low. The only thing that makes us forgive that (and in some cases it is just too poor to forgive) is the feeling of commitment on the part of everyone involved. Yes, this is a low budget movie and yes, the director needs time to learn his trade. But in the end there is something to be said for the involved people to try to take a gay film to a different level. Maybe their next one will be more polished. Grady Harp",0
"Well, what can it be said about this disaster? I watched it because it aired on cable. I regret for wasting my time but at least I didn't waste money. <br /><br />The creature is the cheesiest you can get! Please, you need to be very generous not to get angered by the CHEAP Halloween costume. Oh well, there are also displays of horrible acting, f/x, and dialogues. The confrontation with the creature is unbelievable, you can't get a more pathetic scene. <br /><br />This is the worst you can get from direct to video flicks. ""Creature Unknown"" makes FULL MOON PICTURES movies look like ""Halloween"". <br /><br />Avoid this one at all costs, please. The only ""positive"" thing about this trash are the sexy women.",0
"(SPOILERS included) This film surely is the best Amicus production I've seen so far (even though I still have quite a few to check out). The House that Dripped Blood is a horror-omnibusan anthology that contains four uncanny stories involving the tenants of a vicious, hellish house in the British countryside. A common mistake in productions like this is wasting too much energy on the wraparound story that connects the separate talesPeter Duffel's film wisely doesn't pay too much attention to that. It simply handles about a Scotland Yard inspector who comes to the house to investigate the disappearance of the last tenant and like that, he learns about the bizarre events that took place there before. All four stories in this film are of high quality-level and together, they make a perfect wholesome. High expectations are allowed for this film, since it was entirely written by Robert Bloch! Yes, the same Bloch who wrote the novel that resulted in the brilliant horror milestone `Psycho' We're also marking Peter Duffel's solid and very professional debut as a director. <br /><br />The four stories  chapters if you will  in the House that Dripped Blood contain a good diversity in topics, but they're (almost) equally chilling and eerie. Number one handles about a horror-author who comes to the house, along with his wife, in order to find inspiration for his new book. This starts out real well, but after a short while, his haunted and stalked by the villain of his own imagination. The idea in this tale isn't exactly originalbut it's very suspenseful and the climax is rather surprising. The second story stars (Hammer) horror-legend Peter Cushing as a retired stockbroker. Still haunted by the image of an unreachable and long-lost love, he bumps into a wax statue that looks exactly like her. Cushing is a joy to observe as always and  even though the topic of Wax Museums isn't new  this story looks overall fresh and innovating. This chapter also contains a couple of delightful shock-moments and there's a constant tense atmosphere. It's a terrific warm-up for what is arguably the BEST story: number 3. Another legendary actor in this one, as Christopher Lee gives away a flawless portrayal of a terrified father. He's very severe and strict regarding his young daughter and he keeps her in isolation for the outside world. Not without reason, since the little girl shows a bizarre fascination for witchcraft and voodoo. Besides great acting by Lee and the remarkable performance of Chloe Franks as the spooky kid, this story also has a terrific gothic atmosphere! The devilish undertones in this story, along with the creepy sound effects of thunder, make this story a must for fans of authentic horror. The fourth and final story, in which a vain horror actor gets controlled by the vampire-cloak he wears, is slightly weaker then the others when it comes to tension and credibility, but that the overload of subtle humor more or less compensates that. There's even a little room for parody in this story as the protagonist refers to co-star Christopher Lee in the Dracula series! Most memorable element in this last chapter is the presence of the gorgeous Ingrid Pitt! The cult-queen from `The Vampire Lovers' certainly is one of the many highlights in the filmher cleavage in particular. <br /><br />No doubt about itThe House that Dripped Blood will be greatly appreciated by classic horror fans. I truly believe that, with a bit of mood-settling preparations, this could actually be one of the few movies that'll terrify you and leave a big impression. Intelligent and compelling horror like it should be! Highly recommended. One extra little remark, though: this film may notrepeat MAY NOT under any circumstances be confused with `The Dorm that Dripped Blood'. This latter one is a very irritating and lousy underground 80's slasher that has got nothing in common with this film, except for the title it stole.",1
"In his brief 40 years on Earth, author Jack London managed to cram as much adventure and incident as would seem possible. This 90-minute film, purportedly a biography of the man's life but patently fictionalized, doesn't even scratch the surface, and remains a story very ripe for a modern-day retelling. Here, Michael O'Shea, in one of his first roles, portrays London, and his performance is both rugged and sympathetic. He is not the problem here. Nor is a young and very beautiful Susan Hayward, playing his future wife, Charmian, whose biography on London is the ""basis"" for this film. London's life has here been broken down into a series of episodes, which the film skips lightly through. So we have brief incidents with London as an oyster pirate, a sealer in the Bering Sea, a gold prospector in the Yukon and a correspondent during the Russo-Japanese War...colorful events, for sure, but hardly given anything like in-depth treatment. And Alfred Santell's direction (he also directed one of Susan's first films, ""Our Leading Citizen,"" in 1939) is lackadaisical at best. Making things rougher here is a very poor-quality DVD, with a crummy-looking print source and hissy sound. Perhaps the best thing about this movie rental, for me, was one of the DVD's extras: a catalog of all the Alpha Video films, featuring hundreds and hundreds of full-color movie posters. Let's just hope that these films are in better shape than ""Jack London""!",0
"This movie is probably for you. It had an overall meditative quality from the music, to the beautiful photography, and listening to the often cliché things about life that Andy Goldsworthy would say as he worked or in between shots. If you're familiar with Buddhism- that is the sort of the sense I got out of this film. The impermanence of life, the beauty of nature, the interconnectedness of all things, etc. However, what I did not understand, confused, and ultimately forced me to leave without finishing (I saw over an hour of it) was the redundancy of the whole thing. You only find out bits and pieces of why he's commissioned, and how he can even afford to live off of this kind of work. The art work comes alive but all his talking with no conclusions leads to dead ends.",1
"Genghis Cohn is a (very) mildly entertaining British movie about a German police commissioner in the late 1950's who is haunted by the ghost of a Jewish comedian that he killed 15 years earlier while serving under Hitler in the SS. The ghost comes back and wants his killer to live as a Jew to atone for the murders he committed.<br /><br />Otto, the German policeman actually knows this ghost's name because, the last thing he did before he died was said, in Yiddish, `Kiss my ass'. The policeman didn't speak Yiddish, so he asked around until he found the meaning. The `kiss my ass' left such an impression that everybody involved with that killing learned and remembered the comedian's name, Genghis Cohn.<br /><br />There are a bunch of men who are murdered in the jurisdiction of the police commissioner, and there are no helpful clues. The men are murdered with a set of knives that are missing from the local butcher. The butcher announces that his knives are missing while the commissioner is in the store to get a liver and onion sandwich, so the commissioner is a suspect. The first man is killed while making love to the butcher's wife, so the butcher is a suspect. But the butcher maintains that he would be very busy if he killed every man that slept with his wife. All the men are killed immediately after the climax of lovemaking.<br /><br />I think I might be a bit angrier than the ghost of Genghis Cohn if I was killed like he was. He seems to be very good-natured about it, as if he was just in a mild car accident. I can only guess that it is because it is a British movie and they are known for being a very polite people. He uses some of his material from his stand-up routing, and I just didn't find it very funny.<br /><br />I gave this movie a 4 because it was just kind of goofy. I thought it should have been a little more serious than it was. The movie turns out to be a murder mystery (where did this come from?), and it seemed that Genghis should have been more helpful than he was. The movie gave me a tiny look into Jewish culture, but was only skin-deep. Do all Jews love liver and onion sandwiches? Do they all say `shtoop' and `meshuganah' in their daily vocabulary? Isn't there more important stuff that we should know about the culture?<br /><br />I saw this movie at a Jewish community center in Berkeley, CA, and I was the only person in the room whose hair was not fully gray or white. (I have no gray or white hair.) There were 18 of us, and after the movie they stayed for about 20 minutes to discuss the movie. There were 2 main concerns expressed there: 1. The movie was way too light-hearted and future generations might not understand the gravity of what happened and 2. As the Holocaust survivors are dying off, future generations will not know what really happened. I thought that this second concern was ridiculous and I told them I thought they didn't need to worry because there is tons of literature out there and there will always be people who like to watch movies, like myself. The murder of 6,000,000 people by a very bad man will not ever be forgotten. I write this last paragraph because they charged me with telling others about my experience that day.",0
